id,keyword,place,tweet,lemmatized_tweet,disaster
2305,collapse,"Memphis, TN",Interview on The Colapse of Materialism Best TalkRadio Listen Live htptconcMBnRskQ,Interview on The Colapse of Materialism Best TalkRadio Listen Live htptconcMBnRskQ,0
2310,collapse,"Kampala, Uganda",Greces tax revenues colapse as debt crisis continues htptcoVyzNGRBZ,Greces tax revenue colapse a debt crisis continue htptcoVyzNGRBZ,1
2313,collapse,unknown,htptcodOgbweCW Corection Tent Colapse story HNLnow,htptcodOgbweCW Corection Tent Colapse story HNLnow,1
2316,collapse,Narbin city  ,Corection Tent Colapse Story htptcoCMbNMvVDKl,Corection Tent Colapse Story htptcoCMbNMvVDKl,1
2320,collapse,"Leeds, England, United Kingdom",We al knew Cain wasnt going to die Its either Val or someone is gona colapse later on Emerdale SumerFate,We al knew Cain wasnt go to die Its either Val or someone be gona colapse later on Emerdale SumerFate,0
2322,collapse,Los Angeles,Interview on The Colapse of Materialism Best TalkRadio Listen Live htptcoQnvTXZJzB,Interview on The Colapse of Materialism Best TalkRadio Listen Live htptcoQnvTXZJzB,0
2323,collapse,unknown,West Side water main break causes stret colapse VIDEO El Paso Times htptcouPTWymJlV,West Side water main break cause stret colapse VIDEO El Paso Times htptcouPTWymJlV,1
2326,collapse,burger king with usher,fouseyTUBE zaynmalik I would colapse,fouseyTUBE zaynmalik I would colapse,0
2328,collapse,Greece,The Guardian Greces tax revenues colapse as debt crisis continues The Guardian FreshÛ htptcoLARQLqO,The Guardian Greces tax revenue colapse a debt crisis continue The Guardian FreshÛ htptcoLARQLqO,1
2331,collapse,Russia,If Oikawa was in Karasuno I gues Id just colapse from such an overwhelming hapines,If Oikawa be in Karasuno I gues Id just colapse from such an overwhelm hapines,0
2335,collapse,unknown,Residents set up sign as tribute to families who lost their lives in the Thane building colapse The unfortun htptcozTwANhXuj,Residents set up sign a tribute to family who lose their life in the Thane building colapse The unfortun htptcozTwANhXuj,1
2338,collapse,Los Angeles,Technical Colapse gt htptcoBfJBHtuW WLB Down  to New Low htptcocSXEKREDUg,Technical Colapse gt htptcoBfJBHtuW WLB Down to New Low htptcocSXEKREDUg,0
2343,collapse,Earth,ArneJungjohan Energiewende is directly responsible for the colapse in energy value htptcoNxvjPjW,ArneJungjohan Energiewende be directly responsible for the colapse in energy value htptcoNxvjPjW,1
2344,collapse,Batam,ROH JFB TFB alrasyidItuRasya Corection Tent Colapse Story htptcoxsnJiEJRl ROH SmantiBatam ROHSmantiBatam,ROH JFB TFB alrasyidItuRasya Corection Tent Colapse Story htptcoxsnJiEJRl ROH SmantiBatam ROHSmantiBatam,1
2345,collapse,Chicago IL,Ashes  Rampant England humiliate rival Australia htptcokMBSbXkQN,Ashes Rampant England humiliate rival Australia htptcokMBSbXkQN,0
2353,collapse,"Paterson, New Jersey ",Greces tax revenues colapse as debt crisis continues As talks continue over proposed âÂbn third bailout htptcowWiEFjuq,Greces tax revenue colapse a debt crisis continue As talk continue over propose âÂbn third bailout htptcowWiEFjuq,1
2355,collapsed,"Cramerton, NC",That Pact hasnt already colapsed is a testament to TheDemocrats lockstep devotion to politics over reality,That Pact hasnt already colapsed be a testament to TheDemocrats lockstep devotion to politics over reality,0
2357,collapsed,San Antone,SherifClarke FreAmerican If a carpenter built your house and it colapsed would you ask the same carpenter to rebuild it,SherifClarke FreAmerican If a carpenter built your house and it colapsed would you ask the same carpenter to rebuild it,0
2360,collapsed,"Minneapolis, MN",W Memorial honoring those who died when the bridge colapsed htptcoqIbfYaLGs,W Memorial honor those who die when the bridge colapsed htptcoqIbfYaLGs,1
2365,collapsed,unknown,I used to have a god time from June to about July th then my sumer just colapsed smh,I use to have a god time from June to about July th then my sumer just colapsed smh,0
2369,collapsed,"(queer, trans, he/him, black)",i remember when i was litle and i didnt want to say the pledge and the schol colapsed and pit to hel opened,i remember when i be litle and i didnt want to say the pledge and the schol colapsed and pit to hel open,0
2371,collapsed,unknown,But the ceiling and the wals colapsed Upon the darknes I was traped,But the ceiling and the wals colapsed Upon the darknes I be traped,0
2378,collapsed,unknown,I colapsed in the bathrom bcuz of Michael,I colapsed in the bathrom bcuz of Michael,0
2380,collapsed,"Eugene, OR.",VIDEO Link to the bilowing fire after the SouthTowne Lanes rof colapsed htptcoYrRHqZLKoR htptcodXksUXMKV,VIDEO Link to the bilowing fire after the SouthTowne Lanes rof colapsed htptcoYrRHqZLKoR htptcodXksUXMKV,0
2381,collapsed,"EVERYWHERE, USA",LashaK Diamond quinlo LSedig Yemely Holy Inmianajones I saw this crazy edit of Twisted mixed with Tut and I colapsed,LashaK Diamond quinlo LSedig Yemely Holy Inmianajones I saw this crazy edit of Twisted mixed with Tut and I colapsed,0
2383,collapsed,"Huntsville, AL",D view of the storm that developed amp colapsed over Albertvile this evening some wind damage reported valeywx htptcowJMNzmE,D view of the storm that developed amp colapsed over Albertvile this even some wind damage report valeywx htptcowJMNzmE,1
2384,collapsed,"Jersey City, NJ",michaelgbaron Panic City has colapsed Party City is in ful swing,michaelgbaron Panic City have colapsed Party City be in ful swing,0
2392,collapsed,unknown,JesicaLauraxo grandma colapsed and died,JesicaLauraxo grandma colapsed and die,0
2393,collapsed,Hong Kong,pronged inquiry launched into colapsed HongKong furniture retailer DSC htptcoTgukIsgEN scmpnews htptcoAnLpimNfA,pronged inquiry launch into colapsed HongKong furniture retailer DSC htptcoTgukIsgEN scmpnews htptcoAnLpimNfA,0
2401,collapsed,Tampa Bay,Oficial Crowd in tent that colapsed was told to stay put LANCASTER NH Circus workers first told spectatorsÛ htptcoyRQgASnJG,Oficial Crowd in tent that colapsed be told to stay put LANCASTER NH Circus worker first told spectatorsÛ htptcoyRQgASnJG,0
2403,collapsed,sending rude things to heather,jemaswans i neded such a breather today oh my god i went on lunch and colapsed like a sack of bones in my car,jemaswans i neded such a breather today oh my god i go on lunch and colapsed like a sack of bone in my car,1
2404,collide,"Conway, AR",We had a rom ful of people lifting up Colide in prayer We are so excited for Friday night htptcodYNAMy,We have a rom ful of people lift up Colide in prayer We be so excite for Friday night htptcodYNAMy,0
2405,collide,unknown,Maybe someday wel find the place where our dreams and reality colide,Maybe someday wel find the place where our dream and reality colide,0
2407,collide,unknown,Im not saying you should freak out but Colide starts in  mins so you should freak out GetÛ htpstcoQOKBSYZEU,Im not say you should freak out but Colide start in min so you should freak out GetÛ htpstcoQOKBSYZEU,0
2411,collide,ham ham clubhouse,I aded a video to a YouTube playlist htptcockhDoLph Howie Day Colide,I aded a video to a YouTube playlist htptcockhDoLph Howie Day Colide,0
2424,collide,luisa's heart,but even if the stars and mon colide i never want u back into my life MTVHotest Justin Bieber,but even if the star and mon colide i never want u back into my life MTVHotest Justin Bieber,0
2426,collide,"Lehigh Acres, FL",Colide Gateway students make seting up chairs and tables x more fun than I wouldve thought colideNLC,Colide Gateway student make set up chair and table x more fun than I wouldve thought colideNLC,0
2431,collide,unknown,Perez Hilton forever Niley shiper lol htpstcoqQpIJKdA,Perez Hilton forever Niley shiper lol htpstcoqQpIJKdA,0
2433,collide,unknown,no escape no place to hide here where time and space colide,no escape no place to hide here where time and space colide,0
2434,collide,#IzzoWorld,Niga This Is The First Time I Heard A Song By Justine Sky Other Than Colide,Niga This Is The First Time I Heard A Song By Justine Sky Other Than Colide,0
2436,collide,"Capital Federal, Argentina",Vamos Newels,Vamos Newels,0
2439,collide,unknown,Funfact facts Can Stars Colide htptcoEaoArw,Funfact fact Can Stars Colide htptcoEaoArw,0
2444,collide,Canada,When transgender Sam takes runaway Lizie in two very diferent worlds colide as they explore unjust boundaries and trust Samuel boks,When transgender Sam take runaway Lizie in two very diferent world colide a they explore unjust boundary and trust Samuel boks,0
2447,collide,unknown,When Social Media Marketing and Ethics Rules Colide The Recorder htptcoDBnmZak,When Social Media Marketing and Ethics Rules Colide The Recorder htptcoDBnmZak,0
2448,collide,INEQUITY  IS  INJUSTICE || NJ,Trump amp Bil Clinton colide in best conspiracy story ever htptcoABkhBhNLOz via motherjones TRUMP DEMOCRATIC PLANT lmao lastword,Trump amp Bil Clinton colide in best conspiracy story ever htptcoABkhBhNLOz via motherjones TRUMP DEMOCRATIC PLANT lmao lastword,0
2449,collide,New York,PIERCE THE VEIL Ruber Bracelet Wristband Colide with the Sky Ful read by eBay htptcoHWUPpaTk htptcoWisjhDHn,PIERCE THE VEIL Ruber Bracelet Wristband Colide with the Sky Ful read by eBay htptcoHWUPpaTk htptcoWisjhDHn,0
2450,collide,unknown,Now theres only  days for colide get signed up htptcovhLBOATZ,Now there only day for colide get sign up htptcovhLBOATZ,0
2461,collided,Islamabad,FarhanKVirk PTISalarKhan Instead of promoting false news first get your facts right It was a road rage incident Vehicles colided,FarhanKVirk PTISalarKhan Instead of promote false news first get your fact right It be a road rage incident Vehicles colided,1
2469,collided,unknown,I so want to win an ARC of WHEN WE COLIDED Emery Lords  release Open intl TheStartofEmandYou giveaway htptcoqcuxOwT,I so want to win an ARC of WHEN WE COLIDED Emery Lords release Open intl TheStartofEmandYou giveaway htptcoqcuxOwT,0
2472,collided,unknown,molywod I agre I didnt know you had moved to Marketplace I woke up to your report amp thought my favorite worlds BOLAPM colided,molywod I agre I didnt know you have move to Marketplace I woke up to your report amp thought my favorite world BOLAPM colided,0
2473,collided,unknown,imaginatordx curently reading after as you can se after we colided is on my dreser waiting to get read htptcoQwrASZLHO,imaginatordx curently reading after a you can se after we colided be on my dreser wait to get read htptcoQwrASZLHO,0
2474,collided,unknown,edsheran tf is init,edsheran tf be init,0
2477,collided,England,So runing down the stairs was a bad idea ful on colided With the flor ,So run down the stair be a bad idea ful on colided With the flor,0
2481,collided,unknown,maritime The sand carier Shinto Maru and chemical tanker Hoshin Maru colided on  nautical miles of Honshu htptcobnfoAGpzD,maritime The sand carier Shinto Maru and chemical tanker Hoshin Maru colided on nautical mile of Honshu htptcobnfoAGpzD,0
2484,collided,"Wellington, FL",Oh my God Sending my thoughts to SAStars head coach Dan Hughes who left the game on stretcher after Daniele Robinson colided into him,Oh my God Sending my thought to SAStars head coach Dan Hughes who left the game on stretcher after Daniele Robinson colided into him,0
2495,collided,unknown,AlysaSpencer remember when beau and i colided on the slip and slide and I died ,AlysaSpencer remember when beau and i colided on the slip and slide and I die,0
2503,collided,unknown,Ok two of my favorite things have colided into one great HT LiteraryCakes htpstcoEmeYaKPu,Ok two of my favorite thing have colided into one great HT LiteraryCakes htpstcoEmeYaKPu,0
2509,collision,unknown,Cal to car vs fed ex truck head on colision on I mile marker  Prayers for the families as we get to the scene,Cal to car v fed ex truck head on colision on I mile marker Prayers for the family a we get to the scene,1
2511,collision,unknown,Motorcyclist bicyclist injured in Denver colision on Broadway htptcoeOPWBtUYr,Motorcyclist bicyclist injured in Denver colision on Broadway htptcoeOPWBtUYr,1
2518,collision,Denver Colorado,Motorcyclist bicyclist injured in Denver colision on Broadway At least two people were taken to a localÛ htptcoPMvZDFnmr,Motorcyclist bicyclist injured in Denver colision on Broadway At least two people be take to a localÛ htptcoPMvZDFnmr,1
2522,collision,"Parkway, CA",Trafic Colision Ambulance Enroute Florin Rd at Franklin Blvd South Sac htptcodYElnMQA,Trafic Colision Ambulance Enroute Florin Rd at Franklin Blvd South Sac htptcodYElnMQA,1
2525,collision,unknown,The Denver Post Motorcyclist bicyclist injured in Denver colision on Broadway htptcoyjrIimHi,The Denver Post Motorcyclist bicyclist injured in Denver colision on Broadway htptcoyjrIimHi,1
2526,collision,unknown,that colision damn,that colision damn,1
2529,collision,"San Francisco, CA",Marin Sr Sr Trfc ColisionUnkn Inj htptcoyqJVEVhSzx,Marin Sr Sr Trfc ColisionUnkn Inj htptcoyqJVEVhSzx,1
2533,collision,"Riverside, CA",Riverside I N Sr E Con I N Sr W Con Trfc ColisionUnkn Inj htptcoQqMLKvgPQk,Riverside I N Sr E Con I N Sr W Con Trfc ColisionUnkn Inj htptcoQqMLKvgPQk,0
2549,collision,Mumbai,Techerit Anti Colision Rear gadget technology htptcovaZQaRFg,Techerit Anti Colision Rear gadget technology htptcovaZQaRFg,0
2551,collision,"USA , AZ",Anti Colision Rear inovation gadgets htptcoYXDcXlGo,Anti Colision Rear inovation gadget htptcoYXDcXlGo,0
2558,crash,Somewhere in the Canada,Mom fights to recover in hospital from fiery car crash while kids mis her at home htptcoUHRzfX,Mom fight to recover in hospital from fiery car crash while kid mi her at home htptcoUHRzfX,1
2562,crash,unknown,No citation for Bilings police oficer who caused Broadwater crash htptcoaAhYoEITzl htptcoULZubQVz,No citation for Bilings police oficer who cause Broadwater crash htptcoaAhYoEITzl htptcoULZubQVz,1
2563,crash,unknown,Our litle angel Banjo Pilon  dies after skateboarding crash at Wamberal At the wekend yearold B htptcobcOQBCf,Our litle angel Banjo Pilon dy after skateboard crash at Wamberal At the wekend yearold B htptcobcOQBCf,1
2567,crash,"Austin, TX",lol at the guy whiping by me on a double yelow line in his mustang just to crash on the curb into a light pole sns,lol at the guy whip by me on a double yelow line in his mustang just to crash on the curb into a light pole sn,0
2574,crash,unknown,New post India Train Crash Kils Dozens htptcoOQaZmQaL,New post India Train Crash Kils Dozens htptcoOQaZmQaL,1
2577,crash,PPCC ,Crash,Crash,1
2578,crash,The Open road!,crashmatrix TheMercedesX With a minivan ,crashmatrix TheMercedesX With a minivan,0
2580,crash,The New Way To Surf!,NonPower  Schols with Best Shot to Crash Colege Fotbal Playof htptcoWjEMRNkYi,NonPower Schols with Best Shot to Crash Colege Fotbal Playof htptcoWjEMRNkYi,1
2581,crash,"Ponyville,Equestria ",This is hilarious Lok at al of you We got Hairity Rainbow Crash Spity Pie Spikebot,This be hilarious Lok at al of you We get Hairity Rainbow Crash Spity Pie Spikebot,0
2583,crash,unknown,Thieves crash dealership gate steal four vehicles in Kilen htptcoaAAXCsr htptcofzaxahPVr,Thieves crash dealership gate steal four vehicle in Kilen htptcoaAAXCsr htptcofzaxahPVr,1
2584,crash,Highway to Hell,Time to enjoy sumer in a crash course of two weks I wil never take sumer clases again Thats a lie,Time to enjoy sumer in a crash course of two weks I wil never take sumer clases again Thats a lie,0
2586,crash,Vancouver,portmody Clarke Rd hil nb blocked by crash past Seaview trafic back to Kemsley Take Como Lake to Gatensbury to get around it,portmody Clarke Rd hil nb block by crash past Seaview trafic back to Kemsley Take Como Lake to Gatensbury to get around it,1
2589,crash,unknown,natethewolf Car vs Motorcycle Crash Fairport Nine htpstcoSkUQMJqg BGC,natethewolf Car v Motorcycle Crash Fairport Nine htpstcoSkUQMJqg BGC,1
2595,crash,unknown,Learn cPanel in  Join cPanel Crash Course only  htptcoTltYMumco,Learn cPanel in Join cPanel Crash Course only htptcoTltYMumco,0
2596,crash,Los Angeles,EmilyNoel SterlingKnight joeylawrence ABCFmelisajoey that car crash was prety fun to film melisandjoeychat,EmilyNoel SterlingKnight joeylawrence ABCFmelisajoey that car crash be prety fun to film melisandjoeychat,0
2600,crash,Philippines,NEWS  injured in schol bus crash in Bordentown htptcobYOjn Details htptcoNIHOfDpD,NEWS injured in schol bus crash in Bordentown htptcobYOjn Details htptcoNIHOfDpD,1
2601,crash,"Indian Trail, North Carolina",The Crash And A New Depresion ÛÒ The Seds For The Next Crisis Have Already Ben Sown htptcoIsNHdZcp,The Crash And A New Depresion ÛÒ The Seds For The Next Crisis Have Already Ben Sown htptcoIsNHdZcp,1
2607,crashed,unknown,Husbands back from Edinburgh and crashed out One young adults has got a raging temperature the others gone out and IVE NOT HAD ANY TEA,Husbands back from Edinburgh and crashed out One young adult have get a rag temperature the others go out and IVE NOT HAD ANY TEA,0
2610,crashed,unknown,Rip to whoevers face that crashed in front of my work Wish I could have helped,Rip to whoevers face that crashed in front of my work Wish I could have help,0
2613,crashed,Arizona,almost crashed while listening to walk the mon bUT I DONT CARE I LOVE IT,almost crashed while listen to walk the mon bUT I DONT CARE I LOVE IT,0
2615,crashed,unknown,OlHead just crashed into the back of another olhead car he hoped out like DAMN U FUCKIN ROKIE SLOW TF DOWN ,OlHead just crashed into the back of another olhead car he hop out like DAMN U FUCKIN ROKIE SLOW TF DOWN,0
2618,crashed,Kentucky,thomicks Isnt showing up for me I think it crashed,thomicks Isnt show up for me I think it crashed,0
2620,crashed,"Pleasantville, NY",RosaneBar New documents sugest Clintons email server may have crashed Al of her fan mail from Qatar must have crashed it,RosaneBar New document sugest Clintons email server may have crashed Al of her fan mail from Qatar must have crashed it,0
2623,crashed,Estados Unidos,Bin Laden family plane crashed after avoiding microlight and landing to far down runway Thre members of t htptcoZlBOeMXoT,Bin Laden family plane crashed after avoid microlight and land to far down runway Thre member of t htptcoZlBOeMXoT,1
2626,crashed,unknown,BlizardCS crashed them right after the stream lol,BlizardCS crashed them right after the stream lol,0
2630,crashed,London,PahandaBear Nethaera Yup EU crashed to P,PahandaBear Nethaera Yup EU crashed to P,0
2634,crashed,Arlington VA (DC Area),news Bin Laden family plane crashed after avoiding microlight and landing to far down runway Thre member htptcohHsNVnYKs,news Bin Laden family plane crashed after avoid microlight and land to far down runway Thre member htptcohHsNVnYKs,1
2636,crashed,unknown,aQgcO mhtwfnet Pakistan says army helicopter has crashed in countrys restive northwest Fox News,aQgcO mhtwfnet Pakistan say army helicopter have crashed in country restive northwest Fox News,1
2638,crashed,"Ventura, CA",Got a ticket amp my car got crashed man lifes great ,Got a ticket amp my car get crashed man life great,0
2639,crashed,Pakistan,Pak army helicopter crashed in Mansehra Pray for departed souls htptcoXclNBVvfSi,Pak army helicopter crashed in Mansehra Pray for depart soul htptcoXclNBVvfSi,1
2646,crashed,USA,Website Malfunctioning PHP Scripts not working Database Crashed Ned a Unique Script PHP PRO to the rescue htptcoLadHOo,Website Malfunctioning PHP Scripts not work Database Crashed Ned a Unique Script PHP PRO to the rescue htptcoLadHOo,0
2650,crashed,Swat Pakistan, Army personel including  Majors were martyred when a helicopter of Army Medical Corps crashed near Mansehra htptcowyMrtwsZHU,Army personel include Majors be martyr when a helicopter of Army Medical Corps crashed near Mansehra htptcowyMrtwsZHU,1
2652,crashed,Edinburgh/ West Yorkshire,The last few days have proven how popular the BC is Over m watched Bake Of and iplayer crashed due to cricket comentary,The last few day have proven how popular the BC be Over m watch Bake Of and iplayer crashed due to cricket comentary,0
2653,crush,"Boston, MA",pkadlik jojowizphilip and I have a crush on Rob Thomas right now viptickets imgunashakeitalnight Û Û htptcouaGsSzMuw,pkadlik jojowizphilip and I have a crush on Rob Thomas right now viptickets imgunashakeitalnight Û Û htptcouaGsSzMuw,0
2654,crush,unknown,my brother said he has a crush on a girl named Daniele OH GOD NO,my brother say he have a crush on a girl name Daniele OH GOD NO,0
2662,crush,unknown,women crush for sure htptcofQjvTdGN,woman crush for sure htptcofQjvTdGN,0
2665,crush,?illinois?,I think I might have a crush on my lover boy ,I think I might have a crush on my lover boy,0
2669,crush,pa,Aramis wil crush  pitch strop,Aramis wil crush pitch strop,0
2674,crush,Dreamville | Hoolagan,So if you secretly have a crush on me and can sing lmk lmfao,So if you secretly have a crush on me and can sing lmk lmfao,0
2678,crush,USA,Crush cars with wrestling stars in MX Racing Featuring WE ApAdviceÛ htptcoXvPIfPmy designgeks,Crush car with wrestling star in MX Racing Featuring WE ApAdviceÛ htptcoXvPIfPmy designgeks,0
2681,crush,"Baltimore, MD",I was freaking out and he was playing candy crush ,I be freak out and he be play candy crush,0
2685,crush,unknown,Im just not a relationship person Thats why when I have a crush on someone I always think theyre not going to fel the same way,Im just not a relationship person Thats why when I have a crush on someone I always think theyre not go to fel the same way,0
2686,crush,unknown,sandy dude i have a crush on hockey players but Paul wil always give me buterflieshes just an angel,sandy dude i have a crush on hockey player but Paul wil always give me buterflieshes just an angel,0
2690,crush,unknown,I have the bigest girl crush on omf ,I have the bigest girl crush on omf,0
2697,crush,unknown,TeamBarowman Just saying your my man crush,TeamBarowman Just say your my man crush,0
2699,crush,"MNL, Philippines",omg I have a huge crush on her because of her loks ÛÓ Not necesarily I dont think so She is loks way be htptcoxqmaTIGI,omg I have a huge crush on her because of her loks ÛÓ Not necesarily I dont think so She be loks way be htptcoxqmaTIGI,0
2704,crushed,unknown,I crushed a  mi run with a pace of  with Nike SportWatch GPS nikeplus htptcolJiuaTRC,I crush a mi run with a pace of with Nike SportWatch GPS nikeplus htptcolJiuaTRC,0
2705,crushed,"Lawn, PA",So my Neptunia girls are al nearly level  and Ive crushed al the nonSrank Coloseum fights Major grinding hapens very son,So my Neptunia girl be al nearly level and Ive crush al the nonSrank Coloseum fight Major grind hapens very son,0
2710,crushed,"NoPa, San Francisco",AmyRamponi But theyÛªre not crushed It doesnÛªt set up some negative selfulfiling prophecy or negative selftalk psychat,AmyRamponi But theyÛªre not crush It doesnÛªt set up some negative selfulfiling prophecy or negative selftalk psychat,0
2712,crushed,Florida,An old man shufled slowly into an ice cream parlor He ordered a banana split The waitres asked Crushed nuts No he said Arthritis,An old man shufled slowly into an ice cream parlor He order a banana split The waitres ask Crushed nut No he say Arthritis,0
2713,crushed,"War Drobe, Spare Oom",DancingOnHwy there is nothing I love more than seing Bears fans get their hopes and dreams crushed,DancingOnHwy there be nothing I love more than see Bears fan get their hope and dream crush,0
2716,crushed,"Motown, WV",So in one episode they undo season  Kai joins F Ren beats Aichi with Psy and misaki gets crushed What the fuck,So in one episode they undo season Kai join F Ren beat Aichi with Psy and misaki get crush What the fuck,0
2717,crushed,Bangalore,RT Target Best price on Avril Crushed Sher CurtainPanel Curtains Decor Blinds Shades htptcoTBhbuXdc,RT Target Best price on Avril Crushed Sher CurtainPanel Curtains Decor Blinds Shades htptcoTBhbuXdc,0
2718,crushed,unknown,MWCahil also mcutchen crushed it,MWCahil also mcutchen crush it,0
2721,crushed,unknown,Im so over geting my hopes up and then being crushed,Im so over get my hope up and then be crush,0
2722,crushed,unknown,Uribe just crushed that,Uribe just crush that,0
2735,crushed,"Fredericton, NB",Double E Just crushed that bal Jays,Double E Just crush that bal Jays,0
2737,crushed,"Atlanta, GA",GoT season  funiest season ever Hilarious GameOfThrones you crushed it OMG CantStopLaughing Wow Comedy,GoT season funiest season ever Hilarious GameOfThrones you crush it OMG CantStopLaughing Wow Comedy,0
2738,crushed,downriver., my soul just crushed because they were so damn cute htpstcozADHPwml,my soul just crush because they be so damn cute htpstcozADHPwml,0
2742,crushed,"Ottawa, ON, Canada",Lorace JoeNBC msnbc Stil gets crushed by FoxNews which says litle about cable news viewers in general Dumb sels but sucks,Lorace JoeNBC msnbc Stil get crush by FoxNews which say litle about cable news viewer in general Dumb sels but suck,0
2745,crushed,House of El,Uribe crushed it Mets,Uribe crush it Mets,0
2746,crushed,"Piscataway, NJ",BrandonWarne MLB has that bal at  fet Absolutely crushed,BrandonWarne MLB have that bal at fet Absolutely crush,0
2747,crushed,FL/NJ,That bal was crushed,That bal be crush,0
2750,crushed,unknown,htptcoACHBbiFQrQ Big Papi with a great welcoming to The Show CrushedÛ htptcoceBFBONcHD htptcomUncapudDc,htptcoACHBbiFQrQ Big Papi with a great welcome to The Show CrushedÛ htptcoceBFBONcHD htptcomUncapudDc,0
2751,crushed,"Hodesto, Cuntlifornia",Spicenthingsup wtf I cant The love bit I realy think thats how she fels Masive crush that got crushed,Spicenthingsup wtf I cant The love bit I realy think thats how she fels Masive crush that get crush,0
2754,curfew,Jammu Kashmir ,GhazalaBaji Exactly Curfew like situation when I sit with dad,GhazalaBaji Exactly Curfew like situation when I sit with dad,0
2762,curfew,"Lufkin.Texas,USA",Black African refuges in Israel canot atend Kenye West concert due to curfew for black refuges htptcoSusjQYIJe,Black African refuge in Israel canot atend Kenye West concert due to curfew for black refuge htptcoSusjQYIJe,1
2764,curfew,Mississauga,Has the kids bedtime goten later amp later Nows a god time to point out to them when their regular curfew would be BTSPrep Parenting,Has the kid bedtime goten later amp later Nows a god time to point out to them when their regular curfew would be BTSPrep Parenting,0
2772,curfew,unknown,karliknox you know how crazy strict Philip is he gave me a  texting curfew bruh,karliknox you know how crazy strict Philip be he give me a texting curfew bruh,0
2775,curfew,Ohio land of no sun,CurfewBeagle beaglefredom Prety Curfew,CurfewBeagle beaglefredom Prety Curfew,0
2776,curfew,Nor Cal,WHEN YOUR PARENTS TRY TO PUT A CURFEW ON YOU AND YOURE ALMOST  ,WHEN YOUR PARENTS TRY TO PUT A CURFEW ON YOU AND YOURE ALMOST,0
2779,curfew,770 to Benedict College ,everybody like fuck curfew and im siting here like il be in bed by ,everybody like fuck curfew and im sit here like il be in bed by,0
2781,curfew,isabel beatriz paras de leon,benznibeadel hehe like u HAHAHA Im kiding love u Im gona slep na bc curfew ,benznibeadel hehe like u HAHAHA Im kid love u Im gona slep na bc curfew,0
2789,curfew,unknown,AnaEsterly dude you were only out  mins past curfew give your self a break,AnaEsterly dude you be only out min past curfew give your self a break,0
2790,curfew,Waraq,Big  hanging out no curfew htpstcoJHDqHfaTLJ,Big hang out no curfew htpstcoJHDqHfaTLJ,0
2791,curfew,"Winchester, UK",DomeTufnelPark Do you know what the curfew for Havoc Fest is on Sunday please,DomeTufnelPark Do you know what the curfew for Havoc Fest be on Sunday please,0
2798,curfew,unknown, Sexthemed eboks given curfew in Germany on htptcoNLEnCphX,Sexthemed eboks give curfew in Germany on htptcoNLEnCphX,0
2800,curfew,unknown,Big  Hanging Out NO CURFEW,Big Hanging Out NO CURFEW,0
2804,cyclone,"Miami, FL",Hapy to report al is quite in the TROPICS Cyclone Development not expected at this time CBSMiami MiamiHerald htptcovIoVsaHqL,Hapy to report al be quite in the TROPICS Cyclone Development not expect at this time CBSMiami MiamiHerald htptcovIoVsaHqL,1
2805,cyclone,United Kingdom,Here comes the next Episode Scorpion Cyclone ScorpionCBS,Here come the next Episode Scorpion Cyclone ScorpionCBS,0
2806,cyclone,unknown,The revival of Cyclone Fotbal begins today Be there September th,The revival of Cyclone Fotbal begin today Be there September th,1
2809,cyclone,"Melbourne, Australia",An Apeal By Cardinal Charles Bo SDB CNUA Dear Brothers and Sisters The recent cyclone and the masive htptcobLgHbTVT,An Apeal By Cardinal Charles Bo SDB CNUA Dear Brothers and Sisters The recent cyclone and the masive htptcobLgHbTVT,0
2810,cyclone,"Comox Valley Courtenay, BC  ",Cyclone hits Skye htptcoQZYeRMrQtW htptcoNAIpQNjg,Cyclone hit Skye htptcoQZYeRMrQtW htptcoNAIpQNjg,1
2812,cyclone,NYC,orochinagicom GIGATECH CYCLONE,orochinagicom GIGATECH CYCLONE,1
2814,cyclone,"Quezon City, PHILIPPINES",SEVERE WEATHER BULETIN No  FOR TYPHON ÛÏHanaPHÛ SOUDELOR TROPICAL CYCLONE WARNING ISUED AT  PM htptcofKoJdYqK,SEVERE WEATHER BULETIN No FOR TYPHON ÛÏHanaPHÛ SOUDELOR TROPICAL CYCLONE WARNING ISUED AT PM htptcofKoJdYqK,1
2816,cyclone,"Brooklyn, NY",First time for everything Coney Island Cyclone htpstcoSdNTDhsW,First time for everything Coney Island Cyclone htpstcoSdNTDhsW,1
2818,cyclone,Sittwe,Aliyeski wqudin tunkhin MaungKyawNu drkhubybe nslwin ibrahimdubashi mdskar zarnikyaw kyawthu After cyclone,Aliyeski wqudin tunkhin MaungKyawNu drkhubybe nslwin ibrahimdubashi mdskar zarnikyaw kyawthu After cyclone,1
2823,cyclone,"Seoul, Republic of Korea",ERPESTAR i aint a bitch girl popobawa revolves around you the cyclone,ERPESTAR i aint a bitch girl popobawa revolves around you the cyclone,0
2824,cyclone,"Vineland, NJ, USA",weather tropicalweather Tropical Cyclone Tracking update Z  Aug  htptcoDlaflys tropicalupdate,weather tropicalweather Tropical Cyclone Tracking update Z Aug htptcoDlaflys tropicalupdate,1
2834,cyclone,unknown,Is that a huricane or a typhon No mater which one its also a cyclone htptcockJAtjgzn,Is that a huricane or a typhon No mater which one it also a cyclone htptcockJAtjgzn,1
